#: table_doi: 10.17182/hepdata.91133.v1/t1
#: name: Table 1
#: description: 90% C.L. upper limits to |U_{ei}|^2
#: data_file: data1.yaml
#: keyword reactions: 
#: keyword observables: 
#: keyword cmenergies: 
#: ,
Mass [MeV/c2],UpperLimit [n],stat +,stat -
120.521,2.93265e-08,0,0
120.231,2.7292e-08,0,0
119.941,2.61833e-08,0,0
119.649,2.47461e-08,0,0
119.358,2.45516e-08,0,0
119.065,2.29006e-08,0,0
118.771,2.33137e-08,0,0
118.477,2.47334e-08,0,0
118.182,2.60218e-08,0,0
117.887,2.68864e-08,0,0
117.59,2.68621e-08,0,0
117.293,2.59959e-08,0,0
116.995,2.64114e-08,0,0
116.697,2.71727e-08,0,0
116.397,2.74387e-08,0,0
116.097,2.89945e-08,0,0
115.796,2.94484e-08,0,0
115.495,2.96325e-08,0,0
115.192,2.94693e-08,0,0
114.889,2.75394e-08,0,0
114.585,2.49479e-08,0,0
114.28,2.23651e-08,0,0
113.974,2.09384e-08,0,0
113.667,1.92285e-08,0,0
113.36,1.9934e-08,0,0
113.052,1.925e-08,0,0
112.743,2.00055e-08,0,0
112.433,2.09784e-08,0,0
112.122,2.1453e-08,0,0
111.81,2.2809e-08,0,0
111.498,2.25198e-08,0,0
111.185,2.28785e-08,0,0
110.87,2.36078e-08,0,0
110.555,2.53964e-08,0,0
110.239,2.63271e-08,0,0
109.922,2.74449e-08,0,0
109.604,2.7771e-08,0,0
109.285,2.86543e-08,0,0
108.966,2.9513e-08,0,0
108.645,2.93137e-08,0,0
108.323,2.7335e-08,0,0
108.001,2.5092e-08,0,0
107.677,2.01514e-08,0,0
107.353,1.74194e-08,0,0
107.027,1.5977e-08,0,0
106.701,1.43039e-08,0,0
106.373,1.23202e-08,0,0
106.045,1.12813e-08,0,0
105.715,1.02002e-08,0,0
105.384,9.87023e-09,0,0
105.053,9.23714e-09,0,0
104.72,9.43525e-09,0,0
104.386,1.02795e-08,0,0
104.052,1.05363e-08,0,0
103.716,1.06469e-08,0,0
103.379,1.01827e-08,0,0
103.041,1.07085e-08,0,0
102.702,1.09599e-08,0,0
102.361,1.17114e-08,0,0
102.02,1.22474e-08,0,0
101.677,1.21395e-08,0,0
101.333,1.23255e-08,0,0
100.989,1.20611e-08,0,0
100.642,1.17868e-08,0,0
100.295,1.13686e-08,0,0
99.9466,1.13786e-08,0,0
99.5969,1.12052e-08,0,0
99.2459,1.14852e-08,0,0
98.8937,1.24206e-08,0,0
98.5403,1.35043e-08,0,0
98.1855,1.4368e-08,0,0
97.8295,1.50049e-08,0,0
97.4722,1.54616e-08,0,0
97.1136,1.54095e-08,0,0
96.7536,1.47407e-08,0,0
96.3923,1.38055e-08,0,0
96.0296,1.33048e-08,0,0
95.6656,1.2703e-08,0,0
95.3001,1.17907e-08,0,0
94.9333,1.13903e-08,0,0
94.565,1.09768e-08,0,0
94.1953,1.06029e-08,0,0
93.8242,1.02783e-08,0,0
93.4516,1.06432e-08,0,0
93.0774,1.03922e-08,0,0
92.7018,1.05424e-08,0,0
92.3246,1.02809e-08,0,0
91.9459,1.00143e-08,0,0
91.5656,9.95904e-09,0,0
91.1838,9.10231e-09,0,0
90.8003,8.46674e-09,0,0
90.4152,8.24853e-09,0,0
90.0285,7.89548e-09,0,0
89.6401,7.72765e-09,0,0
89.25,7.47219e-09,0,0
88.8582,7.25813e-09,0,0
88.4646,6.92781e-09,0,0
88.0693,6.93522e-09,0,0
87.6722,6.81346e-09,0,0
87.2733,6.75824e-09,0,0
86.8726,6.49019e-09,0,0
86.47,6.42292e-09,0,0
86.0655,6.56582e-09,0,0
85.6592,6.71931e-09,0,0
85.2508,6.81685e-09,0,0
84.8406,6.98692e-09,0,0
84.4283,6.64771e-09,0,0
84.014,6.82441e-09,0,0
83.5976,7.39809e-09,0,0
83.1792,7.80488e-09,0,0
82.7587,8.13835e-09,0,0
82.336,8.3555e-09,0,0
81.9111,8.16268e-09,0,0
81.484,8.30511e-09,0,0
81.0546,8.545e-09,0,0
80.623,8.82721e-09,0,0
80.1891,1.00749e-08,0,0
79.7527,1.13223e-08,0,0
79.314,1.28404e-08,0,0
78.8729,1.48539e-08,0,0
78.4292,1.48953e-08,0,0
77.9831,1.68856e-08,0,0
77.5343,1.90525e-08,0,0
77.083,1.87289e-08,0,0
76.629,1.91419e-08,0,0
76.1723,1.83588e-08,0,0
75.7128,1.43009e-08,0,0
75.2506,1.12135e-08,0,0
74.7854,8.881e-09,0,0
74.3174,7.14551e-09,0,0
73.8464,5.82332e-09,0,0
73.3724,5.12605e-09,0,0
72.8953,4.3128e-09,0,0
72.415,3.8278e-09,0,0
71.9316,3.01735e-09,0,0
71.4449,3.08751e-09,0,0
70.9548,3.46082e-09,0,0
70.4613,3.86724e-09,0,0
69.9644,4.21449e-09,0,0
69.4639,4.76166e-09,0,0
68.9597,5.39984e-09,0,0
68.4519,6.26332e-09,0,0
67.9402,7.06512e-09,0,0
67.4247,7.95607e-09,0,0
66.9052,8.99711e-09,0,0
66.3816,1.32572e-08,0,0
65.8539,1.4823e-08,0,0
65.3219,1.73074e-08,0,0
64.7855,2.35688e-08,0,0
64.2447,2.85668e-08,0,0
63.6992,3.10113e-08,0,0
63.1491,2.643e-08,0,0
62.5941,2.77347e-08,0,0
62.0342,2.89171e-08,0,0

