# m4 [GeV]	90%CL CNH/Lambda^2 [GeV^-2] from monophoton Z searches (LEP) (https://arxiv.org/pdf/1103.0240.pdf)
0.001	9.129254754025253e-6
1.26	9.129254754025253e-6
1.2891297018321417	9.129320463747381e-6
1.318932847734783	9.129390334815904e-6
1.3494250069340938	9.129464521821284e-6
1.3806221085982415	9.12954323685556e-6
1.4125404501588203	9.129626753698198e-6
1.445196705824666	9.129715502108769e-6
1.4786079352924961	9.129809455268356e-6
1.512791592658932	9.129908648787707e-6
1.5477655355385553	9.130013740656124e-6
1.5835480343927644	9.130125086401598e-6
1.6201577820743	9.130243279526267e-6
1.6576139035924338	9.130367774999112e-6
1.69593596610391	9.130499585897097e-6
1.735143989134872	9.130638037939488e-6
1.7752584550391035	9.13078418430135e-6
1.816300319698054	9.130938303597249e-6
1.8582910234682348	9.13110195781143e-6
1.901252502381707	9.131274166896052e-6
1.9452071996055105	9.131429943444205e-6
1.9901780771660216	9.13164792063442e-6
2.036188627944364	9.131829055223296e-6
2.0832628879491395	9.132044831351806e-6
2.131425448872889	9.132296182345724e-6
2.180701470938846	9.132537220747591e-6
2.2311166960446887	9.132792383598345e-6
2.282697461210161	9.133058285799603e-6
2.3354707123355882	9.133338249610684e-6
2.389464018278473	9.133633586136988e-6
2.4447055852555235	9.133942700507022e-6
2.5012242715776387	9.134268031316359e-6
2.559049602725553	9.134611368180717e-6
2.61821178677401	9.134972948875682e-6
2.678741730172523	9.135353785913466e-6
2.740671053890968	9.135754914649113e-6
2.8040321099384484	9.136177538079102e-6
2.8688579982640503	9.13662222037556e-6
2.9351825840483254	9.137091023996399e-6
3.003040515394534	9.137587376025445e-6
3.0724672414288863	9.138101294405944e-6
3.1434990308192403	9.138645776736245e-6
3.216172990721932	9.139219074023797e-6
3.290527086166628	9.139821421113523e-6
3.3666001598893422	9.140455576432455e-6
3.4444319526239586	9.141122719887488e-6
3.5240631238628772	9.141812269995918e-6
3.6055352730976167	9.14253544345859e-6
3.688890961550476	9.143299589008876e-6
3.77417373440861	9.144106473148155e-6
3.861428143572121	9.144943031666224e-6
3.95069977092807	9.145857002174383e-6
4.042035252162551	9.146805441945932e-6
4.1354823011232655	9.147805923791437e-6
4.231089734745344	9.148861072939596e-6
4.328907498553414	9.149973759612884e-6
4.4289866927532415	9.151146905607097e-6
4.531379598926595	9.152397894627008e-6
4.636139707343246	9.153713787673518e-6
4.743321744904407	9.155095878012384e-6
4.852981703732169	9.156547603729028e-6
4.965176870419913	9.158072313524276e-6
5.079965855958943	9.159673692314213e-6
5.197408626356994	9.16135538082162e-6
5.317566533964597	9.163111450422643e-6
5.44050234952568	9.164970809661893e-6
5.566280294969132	9.166900563603997e-6
5.694966076958478	9.168933910198291e-6
5.826626921217177	9.171088879930507e-6
5.961331607647484	9.173332659943484e-6
6.099150506261209	9.175709493288799e-6
6.240155613941165	9.178212540572796e-6
6.384420592052493	9.180848353231995e-6
6.532020804923504	9.183623695480885e-6
6.683033359216177	9.186545570269357e-6
6.83753714420683	9.189621770245153e-6
6.995612872998051	9.192860650263862e-6
7.157343124683389	9.196268585982315e-6
7.322812387486846	9.199860603281963e-6
7.492107102899707	9.203654334977718e-6
7.6653157108377545	9.207657649585185e-6
7.842528695842464	9.211872391816998e-6
8.023838634350327	9.216311695774862e-6
8.209340243054964	9.220990361285183e-6
8.39913042838734	9.225914713549444e-6
8.593308337139874	9.231074166989358e-6
8.791975408260939	9.236488961604547e-6
8.995235425846783	9.242172222248775e-6
9.203194573358555	9.248136947732585e-6
9.415961489092778	9.254398414644878e-6
9.633647322934207	9.260947669635217e-6
9.85636579442078	9.267820433496293e-6
10.084233252150938	9.275069023739026e-6
10.317368734564367	9.282702233310056e-6
10.555894032127958	9.2907640087843e-6
10.799933750959362	9.29935762492834e-6
11.04961537792153	9.308184936782283e-6
11.305069347222089	9.317562622389694e-6
11.566429108552455	9.32742827436789e-6
11.83383119680225	9.337794525773522e-6
12.107415303385377	9.348680838524607e-6
12.387324349215163	9.360096759787294e-6
12.673704559366481	9.372086775791011e-6
12.966705539464103	9.38468336924007e-6
13.26648035383694	9.397919218117896e-6
13.573185605479186	9.411873903381545e-6
13.886981517860084	9.42651717576299e-6
14.208032018624941	9.441860383027585e-6
14.536504825231347	9.457966441487792e-6
14.872571532565056	9.474838871835405e-6
15.216407702581582	9.492503867421297e-6
15.568192956020075	9.51095310730275e-6
15.928111066237628	9.530328216187724e-6
16.296350055212812	9.550695868125155e-6
16.673102291768814	9.572143988268375e-6
17.05856459206724	9.5946578002483e-6
17.45293832242538	9.618362699246029e-6
17.85642950451031	9.643095003370194e-6
18.2692489229651	9.669279876176432e-6
18.691612235523163	9.696939487857825e-6
19.123740085668235	9.726116443998505e-6
19.565858217899105	9.756885753606874e-6
20.01819759565891	9.789434321462308e-6
20.48099452199101	9.823881146268044e-6
20.954490762984122	9.860396784144222e-6
21.438933674071503	9.89905481062047e-6
21.934576329249882	9.940197838248435e-6
22.441677653285918	9.984083383138693e-6
22.960502556978973	0.00001003098060827892
23.491322075551142	0.000010081031467006964
24.034413510236554	0.000010134712894740825
24.590060573144157	0.000010192274815619603
25.158553535469554	0.00001025438427544529
25.7401893791332	0.00001032124344571346
26.335271951924483	0.000010393269592101954
26.94411212623235	0.000010470879339277298
27.567027961445806	0.000010554611630605749
28.204344870108677	0.000010644964418998573
28.856395787915954	0.000010742580828361778
29.523521347639964	0.000010848237925813605
30.206070057077763	0.000010962757342388104
30.904398481112246	0.000011087081624915993
31.618871427982487	0.00001122236763762456
32.349862139860235	0.000011370094606573517
33.097752487832466	0.000011531700146850348
33.86293317139167	0.000011709320844927596
34.645803922537986	0.000011905615622525475
35.4467737146002	0.000012123638499907662
36.26626097588408	0.000012367970260765089
37.10469380826039	0.000012644269188587297
37.962510210806045	0.00001296081340011309
38.840158308615905	0.000013329314704476165
