# m4 [GeV]	90%CL?? CNH/Lambda^2 [GeV^-2] from SuperNova 1987A cooling (DeRocco:2019jti)
0.005113324769593452	2.8634211781935245e-7
0.005395549692046257	2.8053233194887693e-7
0.005609854896682116	2.7695303250430774e-7
0.005799472594257446	2.7248150622901783e-7
0.006129851514596376	2.6688970748046925e-7
0.006373322367095338	2.622929361210704e-7
0.006599816997131489	2.5704642138379595e-7
0.006964087393429088	2.511768093367051e-7
0.007211576584601598	2.450390133124828e-7
0.0074980123481325055	2.409660492347224e-7
0.007938468765817804	2.3413049251102602e-7
0.008253775874537761	2.301967831638744e-7
0.008532760270116032	2.2526249136290203e-7
0.009018846561539019	2.179918117215572e-7
0.009377065069061842	2.1336284062333507e-7
0.009710306471475012	2.0770707865993183e-7
0.01028071988298633	2.010345449870651e-7
0.010689058588785872	1.9560932511620776e-7
0.011050357537899892	1.920515376036989e-7
0.011679863951352999	1.8500970677685664e-7
0.012143775096106894	1.8055866767636725e-7
0.01257533962230054	1.7509185856747905e-7
0.013314053935380337	1.6882045978568502e-7
0.01384287328021199	1.6486564649263182e-7
0.01431077375314103	1.624098862579096e-7
0.015126016502362588	1.6040832955355513e-7
0.01572680497561911	1.583104085960769e-7
0.016258383885344004	1.5715298378016657e-7
0.017184576263563806	1.5503494844175257e-7
0.017867128430245252	1.537178588106558e-7
0.018471052028559636	1.5460937172444605e-7
0.019457848416791844	1.5837337351626337e-7
0.020230692413184106	1.6008400024703022e-7
0.020914506413081232	1.620821708105115e-7
0.02203184176345421	1.6572931426167814e-7
0.022924876149687332	1.6883341835624485e-7
0.02364146976076493	1.7101075051403898e-7
0.024946337390057475	1.782030645658563e-7
0.025957507374804196	1.8268407395214934e-7
0.026768896008829084	1.8675205723877824e-7
0.02815169247942464	1.943478329554163e-7
0.02929278770354197	1.9947777100561252e-7
0.030208431669596598	2.0420520365742014e-7
0.03176890366968086	2.125364252979166e-7
0.03305661822820737	2.1957978026418342e-7
0.03408991329473221	2.2375506572305274e-7
0.03585089035450025	2.342663018308982e-7
0.0372748476586327	2.4066796579639777e-7
0.03847012652470743	2.4663694024472307e-7
0.040593447253276835	2.571088425603507e-7
0.04223885414400031	2.6380731901921737e-7
0.04355917067793466	2.698275121880342e-7
0.04580929961323518	2.8223787559840293e-7
0.047666124848415196	2.905282165095009e-7
0.04915608886428046	2.97664402576448e-7
0.051695336884347805	3.10432937299369e-7
0.05379074560874262	3.200554089022356e-7
0.05547215511283937	3.2634356497161874e-7
0.05853388605707899	3.411424724716445e-7
0.0610771518919161	3.545695345351217e-7
0.0627049595033424	3.6076746686971674e-7
0.06605490554141714	3.7773700511122817e-7
0.06873236222711812	3.8939455554714054e-7
0.07088082188834494	4.001683144561518e-7
0.07454230087902831	4.21568843905971e-7
0.07756378399553877	4.3659492298772113e-7
0.07998829925569928	4.484186258437714e-7
0.08412024171097428	4.7609197844364e-7
0.08752995521712116	4.993020328414238e-7
0.0902659964623147	5.208009025359385e-7
0.09461063557665092	5.56622808714914e-7
0.09844556466612313	5.897294079871769e-7
0.10152280976084235	6.118311851671962e-7
0.106767156893273	6.622713110979725e-7
0.11110371814981947	7.158241878623119e-7
0.11437529096823097	7.61419696560498e-7
0.11967924924472875	8.463431992201728e-7
0.1248792481897205	9.298655503330989e-7
0.1279924213465154	9.799256707799827e-7
0.13415289042584178	1.0964554641154519e-6
0.13998176128761897	1.2316013920140294e-6
0.140923	1.25772e-6 ## matching point!
#0.1438935805525394	1.3483088727271264e-6
#0.14987284189881533	1.5590620228120629e-6
#0.15761479871120884	1.8717162991062628e-6
#0.16416422273635417	2.1768042001420843e-6
#0.16921115302675493	2.443213517657095e-6
#0.17578862328442874	2.7935197802478086e-6
#0.1833239217183585	3.6169384216626017e-6
#0.18869192565985482	4.451893713401191e-6
#0.19344230494689368	5.1748238210780625e-6
