#: table_doi: 10.17182/hepdata.115511.v1/t3
#: name: CL for 1SFH mu Dirac model
#: description: Expected and observed 95% CL for the 1SFH mu Dirac model.
#: data_file: u_comb_limits_LNC.yaml
#: keyword reactions: 
#: keyword observables: 
#: keyword cmenergies: 13000
#: keyword phrases: CL | expected limit contour | observed limit contour
#: SQRT(s) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],139
HNL mass [GeV],Expected 95% CL []
11.592592592592592,3.9300126698813336e-07
11.5802907703994,3.9318287557057704e-07
11.574074074074073,3.9327959812225884e-07
11.555555555555555,3.935964034385776e-07
11.537037037037036,3.9393944540607913e-07
11.518518518518517,3.9430787759089015e-07
11.5,3.947008830212502e-07
11.481481481481481,3.951176727917988e-07
11.462962962962962,3.955574847546928e-07
11.444444444444445,3.9601958229135084e-07
11.425925925925926,3.9650325315911596e-07
11.407407407407407,3.970078084075784e-07
11.388888888888888,3.9753258135971375e-07
11.37037037037037,3.980769266533653e-07
11.351851851851851,3.986402193389457e-07
11.333333333333332,3.9922185402954377e-07
11.314814814814817,3.9982124409991225e-07
11.296296296296296,4.004378209310779e-07
11.277777777777777,4.0107103319755065e-07
11.267737925215862,4.014242490499326e-07
11.259259259259258,4.0173925265897706e-07
11.240740740740742,4.024466594618186e-07
11.222222222222221,4.031701893115137e-07
11.203703703703702,4.0390932654341855e-07
11.185185185185187,4.046635705089337e-07
11.166666666666666,4.0543243503408555e-07
11.148148148148147,4.0621544790701833e-07
11.12962962962963,4.070121503925819e-07
11.11111111111111,4.078220967723191e-07
11.092592592592592,4.0864485390827874e-07
11.074074074074074,4.0948000082918436e-07
11.066271490356513,4.098383671757261e-07
11.055555555555555,4.103588099462227e-07
11.037037037037036,4.112732638536329e-07
11.018518518518519,4.1219974614104007e-07
11.0,4.131378594244913e-07
10.981481481481481,4.1408721720980613e-07
10.962962962962962,4.1504744357089755e-07
10.944444444444445,4.1601817284366067e-07
10.925925925925926,4.169990493345094e-07
10.907407407407407,4.1798972704270255e-07
10.899306929173472,4.1842885079015763e-07
10.88888888888889,4.1902670545405495e-07
10.87037037037037,4.201023476847093e-07
10.851851851851851,4.2118751047947194e-07
10.833333333333332,4.2228186605682674e-07
10.814814814814815,4.2338509552187074e-07
10.796296296296296,4.2449688864694244e-07
10.777777777777777,4.256169436620142e-07
10.75925925925926,4.267449670543049e-07
10.751877764703451,4.2719939663067764e-07
10.74074074074074,4.279259311820243e-07
10.722222222222221,4.2914508740706764e-07
10.703703703703702,4.303719882205686e-07
10.685185185185185,4.316063557013975e-07
10.666666666666666,4.328479196589894e-07
10.648148148148147,4.340964174732024e-07
10.62962962962963,4.353515939408077e-07
10.617881079115023,4.361537789208006e-07
10.61111111111111,4.3664404908850165e-07
10.592592592592592,4.3799707085243357e-07
10.574074074074074,4.393565940984705e-07
10.555555555555555,4.407223782114133e-07
10.537037037037036,4.420941896481317e-07
10.518518518518519,4.434718018142778e-07
10.5,4.448549949458576e-07
10.494144175754139,4.45295850994266e-07
10.481481481481481,4.463078772150919e-07
10.462962962962962,4.477963229644233e-07
10.444444444444446,4.492902236224378e-07
10.425925925925926,4.5078862024599414e-07
10.407407407407407,4.5227082707765105e-07
10.38888888888889,4.537143945826075e-07
10.376753659633126,4.5462954695323996e-07
10.37037037037037,4.551244959042767e-07
10.351851851851851,4.5651479631640067e-07
10.333333333333332,4.578477045070732e-07
10.314814814814813,4.5912543696850496e-07
10.296296296296296,4.603500853050226e-07
10.277777777777777,4.615236245326552e-07
10.25925925925926,4.6264792071319116e-07
10.24074074074074,4.6372473798383846e-07
10.233001125943083,4.6415888336127725e-07
10.222222222222221,4.6478406839526374e-07
10.203703703703702,4.6581822918372876e-07
10.185185185185185,4.6680828306091734e-07
10.166666666666668,4.677567523242351e-07
10.148148148148147,4.6867960169789445e-07
10.12962962962963,4.6959552849275517e-07
10.11111111111111,4.7050542343500543e-07
10.092592592592592,4.714088418710599e-07
10.074074074074074,4.7230535604076305e-07
10.055555555555555,4.731945546688412e-07
10.041016984649113,4.738879609717651e-07
10.037037037037035,4.740858038514101e-07
10.018518518518517,4.7500467292101816e-07
10.0,4.759148835616665e-07
9.981481481481481,4.768826218376029e-07
9.962962962962962,4.779706517194275e-07
9.944444444444445,4.79173485381063e-07
9.925925925925926,4.804856646709619e-07
9.907407407407407,4.819017692039853e-07
9.88888888888889,4.834164241110781e-07
9.88426810273132,4.838209664925957e-07
9.87037037037037,4.850884619742759e-07
9.851851851851851,4.868751323805761e-07
9.833333333333332,4.887494920752651e-07
9.814814814814815,4.90699820805979e-07
9.796296296296296,4.92688118198184e-07
9.784446995619229,4.939621743878326e-07
9.777777777777777,4.947103369468782e-07
9.75925925925926,4.967909714933743e-07
9.74074074074074,4.988698230698147e-07
9.722222222222221,5.009470005531343e-07
9.703703703703702,5.030226292689392e-07
9.692170563794164,5.043159487171359e-07
9.685185185185185,5.051325990452297e-07
9.666666666666666,5.072993644400666e-07
9.648148148148149,5.094633759872995e-07
9.62962962962963,5.116247989128031e-07
9.61111111111111,5.137838150726718e-07
9.6016539026968,5.148867450137489e-07
9.592592592592592,5.15987571914668e-07
9.574074074074076,5.18237082798472e-07
9.555555555555555,5.204829792698362e-07
9.537037037037036,5.227254831899339e-07
9.518518518518517,5.249648333417011e-07
9.512613383538287,5.25679112201842e-07
9.5,5.272671444385586e-07
9.481481481481481,5.295960294275233e-07
9.462962962962962,5.319205477811765e-07
9.444444444444443,5.342409782776954e-07
9.425925925925926,5.365576170244719e-07
9.424806468073688,5.366976945540476e-07
9.407407407407407,5.389618882123305e-07
9.38888888888889,5.41366761286229e-07
9.37037037037037,5.437675843855304e-07
9.351851851851851,5.461664904180492e-07
9.338050855692824,5.479472336900293e-07
9.333333333333332,5.485813310939763e-07
9.314814814814813,5.510860640514231e-07
9.296296296296296,5.535900635983116e-07
9.277777777777779,5.56092891911207e-07
9.25925925925926,5.585947778993503e-07
9.253082825147015,5.594325706169378e-07
9.24074074074074,5.611796822886135e-07
9.222222222222221,5.638054215280464e-07
9.203703703703702,5.664292405352747e-07
9.185185185185185,5.690508413362551e-07
9.170301852299017,5.711586478126423e-07
9.166666666666666,5.716958242432453e-07
9.148148148148149,5.744446087891747e-07
9.12962962962963,5.771901431530694e-07
9.11111111111111,5.799321329380451e-07
9.092592592592592,5.826702884998227e-07
9.08949365232036,5.831305113526218e-07
9.074074074074073,5.855194264782532e-07
9.055555555555555,5.8838723222854e-07
9.037037037037036,5.91250118724362e-07
9.018518518518519,5.941078012344278e-07
9.010464602694803,5.95353313081437e-07
9.0,5.970412989004657e-07
8.981481481481481,6.000317651552163e-07
8.962962962962962,6.03015891496868e-07
8.944444444444443,6.059933992137166e-07
8.933012952010364,6.078323128297237e-07
8.925925925925926,6.090212592569084e-07
8.907407407407405,6.121346105932695e-07
8.88888888888889,6.152401578126776e-07
8.87037037037037,6.183376293280538e-07
8.856998364610467,6.205728806776501e-07
8.851851851851851,6.214699373554565e-07
8.833333333333332,6.247062368023214e-07
8.814814814814813,6.27933226925357e-07
8.796296296296296,6.311506443612008e-07
8.78229380751129,6.335804992658242e-07
8.777777777777779,6.343975493112217e-07
8.75925925925926,6.377567019332515e-07
8.74074074074074,6.411050016541018e-07
8.722222222222221,6.444421944230053e-07
8.708783861500557,6.468607661546321e-07
8.703703703703702,6.47813889188732e-07
8.685185185185185,6.512956462287394e-07
8.666666666666666,6.547649711285357e-07
8.648148148148149,6.582216202244844e-07
8.636363298958921,6.604193962330305e-07
8.62962962962963,6.617283225249167e-07
8.61111111111111,6.653322860695569e-07
8.592592592592592,6.689222053441713e-07
8.574074074074073,6.724978481284933e-07
8.564935880203734,6.742622241778349e-07
8.555555555555555,6.761497816598362e-07
8.537037037037036,6.798754097918243e-07
8.518518518518519,6.835853514521267e-07
8.5,6.872793868980152e-07
8.494413329738343,6.883952069645497e-07
8.481481481481481,6.910867627908054e-07
8.462962962962962,6.949333751895028e-07
8.444444444444443,6.987626316960791e-07
8.425925925925926,7.025743260538719e-07
8.424714461287767,7.028244264308338e-07
8.407407407407408,7.065473246552777e-07
8.38888888888889,7.10514108606431e-07
8.37037037037037,7.144618428997854e-07
8.355810043192463,7.175560918936921e-07
8.351851851851851,7.184324897976299e-07
8.333333333333332,7.225390887384757e-07
8.314814814814815,7.266251055131668e-07
8.296296296296296,7.306903573998018e-07
8.28760663703989,7.32596542821523e-07
8.277777777777779,7.348427170575106e-07
8.25925925925926,7.390692408933501e-07
8.24074074074074,7.432734324558024e-07
8.222222222222221,7.474551253102053e-07
8.220025157665892,7.479522515621828e-07
8.203703703703702,7.517992392410051e-07
8.185185185185185,7.561445342530041e-07
8.166666666666666,7.60465730256758e-07
8.153061131783982,7.636298261282241e-07
8.148148148148149,7.648199424283485e-07
8.12962962962963,7.693084887723878e-07
8.11111111111111,7.737712933091458e-07
8.092592592592592,7.782082183412981e-07
8.086633142898974,7.796360130405221e-07
8.074074074074073,7.827699629826529e-07
8.055555555555555,7.873764670551075e-07
8.037037037037036,7.91955419024522e-07
8.020687534570074,7.959777002314978e-07
8.018518518518519,7.96533452880094e-07
8.0,8.012857344142294e-07
7.981481481481481,8.06008750301345e-07
7.962962962962963,8.107022369205626e-07
7.955217536606748,8.126619200091945e-07
7.944444444444443,8.155007913713641e-07
7.925925925925926,8.20361264897009e-07
