#: table_doi: 10.17182/hepdata.115511.v1/t4
#: name: CL for 1SFH mu Majorana model
#: description: Expected and observed 95% CL for the 1SFH mu Majorana model.
#: data_file: u_comb_limits_LNC_plus_LNV.yaml
#: keyword reactions: 
#: keyword observables: 
#: keyword cmenergies: 13000
#: keyword phrases: CL | expected limit contour | observed limit contour
#: SQRT(s) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],139
HNL mass [GeV],Expected 95% CL []
11.574074074074073,3.6940278439013755e-07
11.56905502790909,3.6946012051993025e-07
11.555555555555555,3.6962230298111835e-07
11.537037037037036,3.698726435644923e-07
11.518518518518517,3.7014957370813024e-07
11.5,3.7045232837483327e-07
11.481481481481483,3.7078016679146347e-07
11.462962962962962,3.7113237135070016e-07
11.444444444444445,3.715082465782541e-07
11.425925925925926,3.71907118161116e-07
11.407407407407407,3.7232833203275004e-07
11.388888888888888,3.727712535114463e-07
11.37037037037037,3.7323526648832837e-07
11.351851851851851,3.7371977266176816e-07
11.333333333333332,3.7422419081519306e-07
11.314814814814815,3.74747956135494e-07
11.296296296296296,3.7529051956943563e-07
11.277777777777777,3.7585134721565727e-07
11.25925925925926,3.764299197500231e-07
11.24074074074074,3.770257318822326e-07
11.235372349459924,3.7720424934169936e-07
11.222222222222221,3.7766515844788564e-07
11.203703703703702,3.7833297023445824e-07
11.185185185185185,3.7901763892795215e-07
11.166666666666668,3.797186894702532e-07
11.148148148148145,3.804356591196615e-07
11.12962962962963,3.81168097023775e-07
11.11111111111111,3.8191556381494736e-07
11.092592592592592,3.826776312269545e-07
11.074074074074073,3.834538817315917e-07
11.055555555555555,3.842439081940083e-07
11.037037037037036,3.8504731354566436e-07
11.035608779398014,3.851107002325569e-07
11.018518518518517,3.8591226106508923e-07
11.0,3.867948494834805e-07
10.981481481481481,3.8769060799739964e-07
10.962962962962962,3.885991569107694e-07
10.944444444444445,3.8952012556672294e-07
10.925925925925926,3.9045315209470003e-07
10.907407407407408,3.9139788316992415e-07
10.888888888888888,3.923539737845474e-07
10.873032959337424,3.931828755705771e-07
10.870370370370368,3.933301179565245e-07
10.851851851851851,3.943719026288042e-07
10.833333333333332,3.954248908193582e-07
10.814814814814815,3.9648875074508246e-07
10.796296296296296,3.975631582613461e-07
10.777777777777777,3.986477966833713e-07
10.75925925925926,3.9974235661589425e-07
10.74074074074074,4.0084653579063995e-07
10.731164965131452,4.014242490499326e-07
10.722222222222221,4.0199549973236814e-07
10.703703703703702,4.031924564256082e-07
