# m4 [GeV]	90%CL?? CNH/Lambda^2 [GeV^-2] from SuperNova 1987A cooling (DeRocco:2019jti)
0.005113324769593452	0.00009102630412059583
0.005395549692046257	0.00009053210568923553
0.005609854896682116	0.00009002614004935068
0.005799472594257446	0.00008953428201657298
0.006129851514596376	0.00008895991760930413
0.006373322367095338	0.00008692003039613997
0.0065887458914843065	0.00008532451486760978
0.006964087393429088	0.00008278956413732085
0.007240693162837688	0.00008069857265563733
0.007485434531673938	0.00007921631236157082
0.007911857751828644	0.0000752385709136637
0.008193028731606924	0.00007215450851148364
0.00851844667771588	0.00006936462359771242
0.009018846561539019	0.00006534860814112604
0.009339357622748616	0.00006315338625995922
0.009710306471475012	0.00006168937100164402
0.01028071988298633	0.000059804294208158357
0.010689058588785872	0.000058266750559890966
0.011050357537899892	0.000057255027964713905
0.011679863951352999	0.00005542022069871131
0.012094942039697036	0.000054044164564006796
0.01257533962230054	0.00005293363048453136
0.013314053935380337	0.00005120869557777759
0.01384287328021199	0.00005006534220827776
0.01431077375314103	0.00004844925864124129
0.015126016502362588	0.00004573664818293231
0.015663563689573928	0.00004387096299809467
0.01628570293643682	0.00004219009042785562
0.01724237545734251	0.000039968902642934295
0.017891142183892202	0.00003902224441501185
0.0185643195994748	0.00003808434056665291
0.01965484510515582	0.00003686596789795704
0.0204355135898805	0.00003605402307512253
0.021126250713575857	0.00003545427601463693
0.02232975116781924	0.00003517814133581613
0.023216663932340998	0.00003489752930513508
0.02400140621913961	0.000034800042222064046
0.025368695838052065	0.000034522969899355734
0.026376312089077043	0.000033756656760572846
0.02726785307560366	0.00003329197804319301
0.028821222578202726	0.00003219049547732216
0.029965969333400316	0.000031510592826080965
0.030978843679575103	0.000030766359221483414
0.03285374842447044	0.000028570632392154985
0.03415866260022903	0.000026809650158184638
0.03531325341831575	0.000025549011738852402
0.03745048575263118	0.00002325921290259379
0.03893797719854652	0.000021853391796136193
0.040321751975964555	0.000020431273169354553
0.0426903763000565	0.000018167417130275942
0.04429665704460252	0.000016833998898045198
0.04596337618426045	0.000015595257675893574
0.04866340694959836	0.00001385168285419217
0.05039280328615477	0.000012823074038761584
0.05239434912240824	0.000011870981438874316
0.0556587320637932	0.000010454457927265999
0.05786943470680414	9.628416181356276e-6
0.05982546907332225	8.972757299430068e-6
0.06344623222998955	7.915753774327359e-6
0.06583347895812137	7.31256446927082e-6
0.06831054893880377	6.752779434712499e-6
0.07232332169493239	5.966086135012977e-6
0.07504458042087205	5.503657928565768e-6
0.0778682300337339	5.074854128964991e-6
0.08244245051507194	4.46400090043593e-6
0.08537228385052191	4.137969698998058e-6
0.08876317556778042	3.791999671704629e-6
0.0942934856298382	3.3078440852306653e-6
0.09808941596375982	3.0321721404961696e-6
0.10152280976084235	2.7938828657610325e-6
0.10754211345867958	2.4673778738980014e-6
0.11153089500826144	2.246400999847772e-6
0.11572738950188144	2.0598987323202403e-6
0.1225255740128426	1.7996538745804144e-6
0.12687987824500926	1.6558149341815364e-6
0.13191940522991538	1.5035125552541755e-6
0.1401385254839737	1.277137343034477e-6
0.140923	1.25772e-6 ## matching point!
#0.14570467112164276	1.148894957999507e-6
#0.1508827122875215	1.0489789292504748e-6
#0.15974602910525862	8.937194980161493e-7
#0.1660909628768137	7.951852163727848e-7
#0.17199349047895604	7.076946956725106e-7
#0.18209691964981095	5.83578374431745e-7
#0.18820730112903922	5.290806464460629e-7
#0.19344230494689368	4.749305460959679e-7
