# m4 [GeV]	1sigma CNH/Lambda^2 [GeV^-2] from Z invisible decay (LEP) (PDG 2022, Workman:2022ynf)
0.001	1.4830055596822562e-6
0.0010023052380778994	1.4830055596847257e-6
0.0010046157902783945	1.4830055596872067e-6
0.0010069316688518044	1.4830055596896995e-6
0.0010092528860766844	1.4830055596922031e-6
0.0010115794542598982	1.4830055596947186e-6
0.0010139113857366789	1.4830055596972462e-6
0.001016248692870696	1.4830055596997847e-6
0.001018591388054117	1.4830055597023353e-6
0.0010209394837076798	1.4830055597048978e-6
0.0010232929922807535	1.483005559707472e-6
0.0010256519262514079	1.483005559710058e-6
0.0010280162981264735	1.4830055597126558e-6
0.001030386120441616	1.483005559715266e-6
0.001032761405761397	1.483005559717888e-6
0.0010351421666793441	1.4830055597205222e-6
0.0010375284158180126	1.4830055597231683e-6
0.001039920165829059	1.4830055597258267e-6
0.0010423174293933035	1.4830055597284974e-6
0.0010447202192208004	1.4830055597311808e-6
0.0010471285480508996	1.483005559733876e-6
0.001049542428652322	1.483005559736584e-6
0.0010519618738232225	1.4830055597393045e-6
0.0010543868963912592	1.4830055597420373e-6
0.0010568175092136585	1.4830055597447831e-6
0.0010592537251772887	1.4830055597475413e-6
0.001061695557198724	1.4830055597503123e-6
0.0010641430182243164	1.4830055597530961e-6
0.001066596121230258	1.4830055597558928e-6
0.0010690548792226576	1.4830055597587022e-6
0.001071519305237606	1.4830055597615245e-6
0.0010739894123412452	1.4830055597643604e-6
0.001076465213629835	1.483005559767209e-6
0.0010789467222298286	1.4830055597700707e-6
0.0010814339512979375	1.4830055597729455e-6
0.0010839269140212038	1.4830055597758339e-6
0.0010864256236170656	1.4830055597787354e-6
0.0010889300933334333	1.4830055597816504e-6
0.001091440336448756	1.4830055597845786e-6
0.0010939563662720941	1.4830055597875206e-6
0.0010964781961431851	1.4830055597904761e-6
0.0010990058394325208	1.4830055597934454e-6
0.0011015393095414145	1.4830055597964284e-6
0.0011040786199020736	1.483005559799425e-6
0.0011066237839776664	1.4830055598024354e-6
0.0011091748152624009	1.4830055598054597e-6
0.0011117317272815908	1.483005559808498e-6
0.0011142945335917303	1.4830055598115503e-6
0.001116863247780561	1.483005559814617e-6
0.0011194378834671515	1.4830055598176974e-6
0.001122018454301963	1.4830055598207923e-6
0.0011246049739669268	1.4830055598239013e-6
0.0011271974561755105	1.4830055598270247e-6
0.0011297959146727976	1.483005559830163e-6
0.0011324003632355566	1.4830055598333152e-6
0.0011350108156723154	1.4830055598364819e-6
0.0011376272858234309	1.4830055598396637e-6
0.0011402497875611685	1.4830055598428596e-6
0.0011428783347897712	1.4830055598460707e-6
0.0011455129414455361	1.4830055598492964e-6
0.0011481536214968829	1.4830055598525372e-6
0.0011508003889444357	1.4830055598557927e-6
0.0011534532578210918	1.4830055598590633e-6
0.0011561122421920992	1.4830055598623494e-6
0.0011587773561551262	1.48300555986565e-6
0.0011614486138403425	1.4830055598689664e-6
0.0011641260294104909	1.4830055598722978e-6
0.001166809617060963	1.4830055598756446e-6
0.001169499391019871	1.4830055598790067e-6
0.0011721953655481304	1.4830055598823847e-6
0.001174897554939529	1.4830055598857781e-6
0.0011776059735208078	1.4830055598891872e-6
0.0011803206356517297	1.483005559892612e-6
0.0011830415557251646	1.4830055598960524e-6
0.0011857687481671595	1.483005559899509e-6
0.001188502227437019	1.4830055599029816e-6
0.0011912420080273751	1.4830055599064699e-6
0.0011939881044642732	1.4830055599099745e-6
0.0011967405313072432	1.483005559913495e-6
0.0011994993031493794	1.4830055599170324e-6
0.001202264434617413	1.4830055599205855e-6
0.0012050359403717973	1.4830055599241553e-6
0.0012078138351067798	1.4830055599277412e-6
0.001210598133550483	1.4830055599313445e-6
0.0012133888504649774	1.4830055599349636e-6
0.001216186000646368	1.4830055599385995e-6
0.001218989598924866	1.4830055599422526e-6
0.0012217996601648724	1.4830055599459223e-6
0.001224616199265049	1.483005559949609e-6
0.0012274392311584072	1.4830055599533127e-6
0.0012302687708123812	1.4830055599570333e-6
0.0012331048332289095	1.4830055599607714e-6
0.0012359474334445108	1.4830055599645266e-6
0.001238796586530369	1.483005559968299e-6
0.0012416523075924107	1.4830055599720889e-6
0.0012445146117713857	1.4830055599758967e-6
0.0012473835142429433	1.4830055599797215e-6
0.0012502590302177201	1.4830055599835643e-6
0.0012531411749414157	1.4830055599874248e-6
0.0012560299636948755	1.483005559991303e-6
