# MN(MeV) |Ue4|^2
1.00872981e+1 1.56474814e-5
1.11672487e+1 1.17213497e-5
1.23806016e+1 8.83053572e-6
1.33181926e+1 7.20024698e-6
1.43109359e+1 5.93906285e-6
1.53588317e+1 4.87489441e-6
1.64618798e+1 4.05526187e-6
1.79877783e+1 3.13988383e-6
1.99956351e+1 2.37981507e-6
2.12601393e+1 2.03044372e-6
2.24836316e+1 1.74076738e-6
2.36868453e+1 1.54315693e-6
2.50152772e+1 1.31938144e-6
2.66249645e+1 1.11185197e-6
2.77332904e+1 1.03298089e-6
2.87263965e+1 9.35093133e-7
3.02095155e+1 8.19559043e-7
3.18494016e+1 7.14740272e-7
3.31776517e+1 6.62197679e-7
3.46617198e+1 5.95238972e-7
3.69234232e+1 5.10185064e-7
3.93501291e+1 4.42990291e-7
4.05634821e+1 4.14307527e-7
4.17768351e+1 3.90658006e-7
4.29901881e+1 3.68960346e-7
4.42035410e+1 3.49893039e-7
4.54168940e+1 3.33168211e-7
4.66302470e+1 3.18280424e-7
4.78436000e+1 3.05301505e-7
4.90569529e+1 2.93569916e-7
5.02703059e+1 2.82981301e-7
5.14836589e+1 2.73666758e-7
5.26970119e+1 2.65741266e-7
5.39103648e+1 2.57624341e-7
5.51237178e+1 2.51391750e-7
5.63370708e+1 2.45109769e-7
5.75504238e+1 2.40158185e-7
5.87637767e+1 2.36269037e-7
5.99771297e+1 2.32822682e-7
6.11904827e+1 2.31874314e-7
6.24038357e+1 2.31307149e-7
6.36171886e+1 2.32442870e-7
6.48305416e+1 2.36269037e-7
6.60438946e+1 2.42522336e-7
6.72572476e+1 2.50163444e-7
6.84706005e+1 2.58889281e-7
6.96839535e+1 2.70999006e-7
7.08973065e+1 2.83212403e-7
7.21106595e+1 2.97186779e-7
7.33240124e+1 3.13893942e-7
7.45373654e+1 3.32082080e-7
7.57507184e+1 3.56815737e-7
7.69640714e+1 3.82453793e-7
7.81774243e+1 4.12283210e-7
7.93907773e+1 4.47716486e-7
8.06041303e+1 4.95409914e-7
8.18174833e+1 5.44171181e-7
8.30308362e+1 6.02139538e-7
8.42441892e+1 6.77250499e-7
8.54575422e+1 7.74269414e-7
8.66708952e+1 9.01227664e-7
8.78842481e+1 1.06453133e-6
8.90424487e+1 1.26762916e-6
9.02006493e+1 1.54841475e-6
9.13036974e+1 1.87603539e-6
9.21585598e+1 2.26169018e-6
9.29031173e+1 2.78991777e-6
9.37304034e+1 3.38948666e-6
9.45760736e+1 4.15519825e-6
9.51643660e+1 5.10333756e-6
9.59364997e+1 6.21799451e-6
9.67637858e+1 7.58462042e-6
9.75910719e+1 9.17184754e-6
9.83080533e+1 1.10138428e-5
9.89698821e+1 1.33194122e-5
9.97570574e+1 1.62927599e-5
1.00388803e+2 2.03601558e-5
1.00912473e+2 2.54637328e-5
1.01439484e+2 3.20320057e-5
1.01837807e+2 3.95378679e-5
1.02315795e+2 5.05368682e-5
1.03234395e+2 9.85887047e-5
