# MN(MeV) |Umu4|^2
1.00560544e+1 4.31927246e-6
1.13017526e+1 3.10377840e-6
1.21736225e+1 2.48551556e-6
1.30455418e+1 2.01492898e-6
1.39175388e+1 1.66517175e-6
1.47895711e+1 1.38821433e-6
1.56616458e+1 1.16953130e-6
1.65337557e+1 9.93951909e-7
1.74059080e+1 8.53643884e-7
1.82780745e+1 7.35711209e-7
1.91502691e+1 6.38523037e-7
2.00224991e+1 5.59041394e-7
2.08947573e+1 4.92889901e-7
2.17670155e+1 4.34566129e-7
2.26393231e+1 3.87863850e-7
2.35116237e+1 3.45575620e-7
2.43839525e+1 3.10059787e-7
2.52562955e+1 2.79168924e-7
2.61286384e+1 2.51355678e-7
2.70010095e+1 2.27902394e-7
2.78733878e+1 2.06999222e-7
2.87457801e+1 1.88672158e-7
2.96181725e+1 1.71967716e-7
3.04905860e+1 1.57566884e-7
3.13629995e+1 1.44371999e-7
3.22354272e+1 1.32745642e-7
3.31078689e+1 1.22483293e-7
3.36474745e+1 1.18091595e-7
3.40218415e+1 2.25998730e-7
3.50010516e+1 2.10651768e-7
3.58736063e+1 1.99883029e-7
3.67461399e+1 1.88672158e-7
3.76187017e+1 1.79340457e-7
3.84912564e+1 1.70172385e-7
3.93638323e+1 1.62322535e-7
4.02364082e+1 1.54834790e-7
4.11089982e+1 1.48210019e-7
4.19815882e+1 1.41868695e-7
4.28541853e+1 1.36036430e-7
4.37267965e+1 1.30901058e-7
4.45994077e+1 1.25959546e-7
4.54720330e+1 1.21629325e-7
4.63446513e+1 1.17242714e-7
4.72172907e+1 1.13608900e-7
4.80899302e+1 1.10087711e-7
4.89625767e+1 1.06862411e-7
4.98352514e+1 1.04459912e-7
5.15805444e+1 9.84287369e-8
5.24532192e+1 9.62158449e-8
5.33258869e+1 9.38883365e-8
5.41985687e+1 9.19381944e-8
5.50712575e+1 9.01861682e-8
5.59439464e+1 8.84675297e-8
5.68166423e+1 8.69335681e-8
5.76893523e+1 8.57255715e-8
5.85620624e+1 8.45343607e-8
5.94347654e+1 8.32140227e-8
6.03074966e+1 8.24894331e-8
6.11802066e+1 8.13431906e-8
6.20529590e+1 8.10591273e-8
6.29256902e+1 8.03533016e-8
6.37984144e+1 7.95144188e-8
6.46711739e+1 7.93754590e-8
6.55439404e+1 7.93754590e-8
6.64167069e+1 7.93754590e-8
6.72894734e+1 7.93754590e-8
6.81622399e+1 7.93754590e-8
6.90350064e+1 7.93754590e-8
6.99078012e+1 7.99327597e-8
7.07806101e+1 8.07760561e-8
7.16533907e+1 8.10591273e-8
7.25262208e+1 8.23452741e-8
7.33990226e+1 8.30685974e-8
7.42718527e+1 8.43866280e-8
7.51446827e+1 8.57255715e-8
7.60175198e+1 8.72382177e-8
7.68903711e+1 8.90886665e-8
7.77632294e+1 9.11376388e-8
7.86360947e+1 9.33969569e-8
7.95089813e+1 9.62158449e-8
8.03818607e+1 9.89465897e-8
8.12547684e+1 1.02469265e-7
8.21276691e+1 1.05931902e-7
8.30005980e+1 1.10280438e-7
8.38735340e+1 1.15008471e-7
8.47464911e+1 1.20570232e-7
8.56194482e+1 1.26400958e-7
8.64924407e+1 1.33677658e-7
8.73654331e+1 1.41373267e-7
8.82384538e+1 1.50561633e-7
8.91115097e+1 1.61755680e-7
8.99845798e+1 1.74390988e-7
9.08576640e+1 1.88672158e-7
9.17307977e+1 2.06637469e-7
9.26039454e+1 2.27106523e-7
9.34771426e+1 2.52678110e-7
9.43504033e+1 2.85589599e-7
9.52236781e+1 3.23919007e-7
9.60970094e+1 3.72569754e-7
9.69704255e+1 4.37617249e-7
9.78439262e+1 5.24924621e-7
9.87175258e+1 6.45259501e-7
9.95912807e+1 8.24297423e-7
1.00392316e+2 1.05596348e-6
1.01047893e+2 1.35344854e-6
1.01630733e+2 1.73201211e-6
1.02250107e+2 2.31148695e-6
1.02665644e+2 2.94099177e-6
1.03088637e+2 3.91672216e-6
1.03453550e+2 5.35202855e-6
1.03803917e+2 7.31331159e-6
1.04110797e+2 1.03762872e-5
1.04417700e+2 1.48047384e-5
1.04549782e+2 1.97682922e-5
1.04696270e+2 2.54974473e-5
1.04799313e+2 3.44954976e-5
1.05013935e+2 4.73597168e-5
1.05199092e+2 1.06220540e-4
1.05427726e+2 4.23893584e-4
