# m4(GeV) Ue4^2
1.00400206e+1 7.81184510e-4
1.50891353e+1 4.89615404e-4
2.01166630e+1 6.14335762e-4
2.51590271e+1 4.96194760e-4
2.98732087e+1 5.59533492e-4
3.02333095e+1 5.23408269e-4
3.98266209e+1 5.37569701e-4
4.03067031e+1 7.70826296e-4
5.00087463e+1 8.69221450e-4
5.98553823e+1 1.78720312e-3
7.51580867e+1 2.28781177e-2
7.54588741e+1 9.86740374e-1
8.47254486e+1 9.86740374e-1
8.54049588e+1 2.85149401e-1
1.00199903e+2 1.09063934e-1
1.26320668e+2 1.12014788e-1
1.99965021e+2 1.98861506e-1
2.51088337e+2 1.86022389e-1
3.01729926e+2 2.12586769e-1
3.51182925e+2 2.52870723e-1
4.49861601e+2 3.77408428e-1
5.05105945e+2 4.92894104e-1
7.00842002e+2 7.96983399e-1
9.01364107e+2 1.57435058e+0
9.92043668e+2 2.11172655e+0
