# m4/MeV Umu4^2
3.841820743000000107e+02 1.544542563043235756e-07
3.835571437172154106e+02 1.423554546088505770e-07
3.814247611116461485e+02 1.118307385730897798e-07
3.805034674888889299e+02 1.033749816597108117e-07
3.768248606777777923e+02 9.281812814823261087e-08
3.731462538666667115e+02 8.831279632681633949e-08
3.721890941458123621e+02 8.752733884830535823e-08
3.694676470555555738e+02 8.495945465093454217e-08
3.657890402444444931e+02 8.255382635584014592e-08
3.621104334333333554e+02 8.091557911185182851e-08
3.584318266222222746e+02 7.991502347747760946e-08
3.547532198111111370e+02 7.944098778753995595e-08
3.510746130000000562e+02 7.927585424523831361e-08
3.473960061888889186e+02 7.923267770021769110e-08
3.437173993777777241e+02 7.936216962524071560e-08
3.400387925666667002e+02 7.969731082032709868e-08
3.363601857555555625e+02 8.082339197515985991e-08
3.326815789444444817e+02 8.215479813242855079e-08
3.290029721333333441e+02 8.373085313315635195e-08
3.253243653222222633e+02 8.563853624228050104e-08
3.220625874641914379e+02 8.752733884830535823e-08
3.216457585111111257e+02 8.773104347189152154e-08
3.179671517000000449e+02 8.964605643063632701e-08
3.142885448888889073e+02 9.176595796349339197e-08
3.106099380777778265e+02 9.411832010028292281e-08
3.069313312666666889e+02 9.662988275348789363e-08
3.032527244555556081e+02 9.938818613817299337e-08
2.995741176444444704e+02 1.023208861616805540e-07
2.958955108333333328e+02 1.046414134640830848e-07
2.922169040222222520e+02 1.072210487125793641e-07
2.885382972111111712e+02 1.112174095969919949e-07
2.881505196832255251e+02 1.118307385730897798e-07
2.848596904000000336e+02 1.167698398285887033e-07
2.811810835888888960e+02 1.229933311093151915e-07
2.775024767777778152e+02 1.277813735044566137e-07
2.738238699666666776e+02 1.319678877288376997e-07
2.701452631555555399e+02 1.366018787969157039e-07
2.671746947866633946e+02 1.423554546088505770e-07
2.664666563444444591e+02 1.434332485268220521e-07
2.627880495333333783e+02 1.493536527962287152e-07
2.591094427222222407e+02 1.562845476718094623e-07
2.554308359111111315e+02 1.650998738410188597e-07
2.517522291000000223e+02 1.752181280131534841e-07
2.493735557945809092e+02 1.805538178080308003e-07
2.480736222888889131e+02 1.829738508689576734e-07
2.443950154777778039e+02 1.880077526102797728e-07
2.407164086666666662e+02 1.936491349226761382e-07
2.370378018555555855e+02 2.015958594896543071e-07
2.333591950444444478e+02 2.109476314857610890e-07
2.296805882333333386e+02 2.218237507471407715e-07
2.281330580853292531e+02 2.281826985117783809e-07
2.260019814222222294e+02 2.366824688482407948e-07
2.223233746111111486e+02 2.529463573825173446e-07
2.186447678000000110e+02 2.738146577598873855e-07
2.167545560715082047e+02 2.873595859287131056e-07
2.149661609888889018e+02 3.000638137952718915e-07
2.112875541777777926e+02 3.298330198835424254e-07
2.076089473666666834e+02 3.465979886018923485e-07
2.039303405555556026e+02 3.554884985998709764e-07
2.021688799647086512e+02 3.606274021313384072e-07
2.002517337444444649e+02 3.647461816092109746e-07
1.965731269333333557e+02 3.885413277621956690e-07
1.928945201222222465e+02 4.181507752955442753e-07
1.894820152881110857e+02 4.510291186175610938e-07
1.892159133111111373e+02 4.536259088970439418e-07
1.855373065000000281e+02 4.923534356967272730e-07
1.818586996888888621e+02 5.396608077336006430e-07
1.801072254346682371e+02 5.621933260329906909e-07
1.781800928777777813e+02 5.875073305243705696e-07
1.745014860666666436e+02 6.350508803032667810e-07
1.708228792555555913e+02 6.915260078492077772e-07
1.703084058067966282e+02 6.984319895067627162e-07
1.671442724444444536e+02 7.317055699766661509e-07
1.634656656333333444e+02 7.738315921318485590e-07
1.597870588222222352e+02 8.252145412538920616e-07
1.580727775777702391e+02 8.648517018813763165e-07
1.561084520111111260e+02 9.149774662774781709e-07
1.524298452000000452e+02 1.024149223932743373e-06
1.509769641282530586e+02 1.067479823551150277e-06
1.487512383888889076e+02 1.134200610625053955e-06
1.450726315777777700e+02 1.232810211328950073e-06
1.424621387649532949e+02 1.313406969182490677e-06
1.413940247666666892e+02 1.341974528970399014e-06
1.377154179555555515e+02 1.449915152301395067e-06
1.340368111444444708e+02 1.597168267212508616e-06
1.337061034861825135e+02 1.610947366686458142e-06
1.303582043333333331e+02 1.776616558726752354e-06
1.271188361576503496e+02 1.969818670778113621e-06
1.266795975222222381e+02 1.992067708843839759e-06
1.230009907111111147e+02 2.189336722168726378e-06
1.198011487515044706e+02 2.401342860546970923e-06
1.193223839000000055e+02 2.435580377981379460e-06
1.156437770888888963e+02 2.715687241966207397e-06
1.133759924923514717e+02 2.918669885893663833e-06
1.119651702777777871e+02 3.058846500216247042e-06
1.082865634666666779e+02 3.474367749245167693e-06
1.077633464265207124e+02 3.537025749657343618e-06
1.046079566555555687e+02 3.886304781428346087e-06
1.017112487351843413e+02 4.273986718972139254e-06
1.009293498444444310e+02 4.414848536076024966e-06
9.725074303333333603e+01 5.144457515229176393e-06
9.722471862338768744e+01 5.149781349096054612e-06
9.357213622222222682e+01 5.769192571412637198e-06
9.150304222723737269e+01 6.187621973973959814e-06
8.989352941111111761e+01 6.628846665115007740e-06
8.725599944669193064e+01 7.414067268552867025e-06
8.621492260000000840e+01 7.710031151587219044e-06
8.264326202448478398e+01 8.859417416930150498e-06
8.253631578888888498e+01 8.902494584474351729e-06
7.885770897777777577e+01 1.046869497206965258e-05
7.865783217954312079e+01 1.055814332652710904e-05
7.517910216666666656e+01 1.227068728757460623e-05
7.464779558718309715e+01 1.254935121059067113e-05
7.150049535555555735e+01 1.455387787265652919e-05
7.101056656905244324e+01 1.487728371862230269e-05
6.782188854444444814e+01 1.740806660547785037e-05
6.759448363853614694e+01 1.759185862627776214e-05
6.432142172877010466e+01 2.074924590262639375e-05
6.414328173333333893e+01 2.095925189098743542e-05
6.118996265501835552e+01 2.441248375347318848e-05
6.046467492222222262e+01 2.547973429402950921e-05
5.824453878086224279e+01 2.865213399514859101e-05
5.678606811111111341e+01 3.129908487806445613e-05
5.548564050407635762e+01 3.354697684451752725e-05
5.313814195624861725e+01 3.918474491906774425e-05
5.310746130000000420e+01 3.926318310071202152e-05
5.042769376660591263e+01 4.566289592730945720e-05
4.942885448888888789e+01 4.950469880017566236e-05
4.835370374483819944e+01 5.308942319619271540e-05
4.601751165404500910e+01 6.158370283102487504e-05
4.575024767777777868e+01 6.322531940980319104e-05
4.415185240353518736e+01 7.127737593700980939e-05
4.207893052943405365e+01 8.231526395288168757e-05
4.207164086666666947e+01 8.237600580244103232e-05
