# m4/MeV Umu4^2
4.020199083425538333e+01 9.485631475933074266e-05
3.852333772440770332e+01 1.090745768314415866e-04
3.839303405555556026e+01 1.105134930591768650e-04
3.669800340301820540e+01 1.251601983088427368e-04
3.534199964851810449e+01 1.433204474635183358e-04
3.471442724444444394e+01 1.522521658132067982e-04
3.365555148759600712e+01 1.637807506572503693e-04
3.239367120201232098e+01 1.867857435025351682e-04
3.113908392011930104e+01 2.126003305766195086e-04
3.103582043333333473e+01 2.155145339276877718e-04
2.969324311102789693e+01 2.415107486922094763e-04
2.860768546334582396e+01 2.738256284044265866e-04
2.753088931936119010e+01 3.098770481356812739e-04
2.735721362222222197e+01 3.191185237547853270e-04
2.641478381783099394e+01 3.500215750320874323e-04
2.526109347887209111e+01 3.946412864304251595e-04
2.433808423803904830e+01 4.441447656167666486e-04
2.375957606570844405e+01 4.989680653997227711e-04
2.367860681111111276e+01 5.056299453519664741e-04
2.254220776957646422e+01 5.595756329055423008e-04
2.159637027201515025e+01 6.264611889311747731e-04
2.098361218955651353e+01 7.001485551669220288e-04
2.032138952581561142e+01 7.811924226237064277e-04
2.000000000000000000e+01 8.385692692673343959e-04
