# m4/MeV Umu4^2
3.841820743000000107e+02 4.721804392402730596e-08
3.835571437172154106e+02 4.351933232129015245e-08
3.814247611116461485e+02 3.418765434081958525e-08
3.805034674888889299e+02 3.160265402486746198e-08
3.768248606777777923e+02 2.837532973655294436e-08
3.731462538666667115e+02 2.699800961002434810e-08
3.721890941458123621e+02 2.675788825236028583e-08
3.694676470555555738e+02 2.597286314703480128e-08
3.657890402444444931e+02 2.523744111839970918e-08
3.621104334333333554e+02 2.473661432232460506e-08
3.584318266222222746e+02 2.443073553968213593e-08
3.547532198111111370e+02 2.428581860074759753e-08
3.510746130000000562e+02 2.423533580383220482e-08
3.473960061888889186e+02 2.422213634887348562e-08
3.437173993777777241e+02 2.426172318545438982e-08
3.400387925666667002e+02 2.436417883833818001e-08
3.363601857555555625e+02 2.470843189230484033e-08
3.326815789444444817e+02 2.511545463106813243e-08
3.290029721333333441e+02 2.559726870360764779e-08
3.253243653222222633e+02 2.618046444709217245e-08
3.220625874641914379e+02 2.675788825236028583e-08
3.216457585111111257e+02 2.682016257288834495e-08
3.179671517000000449e+02 2.740559911678605255e-08
3.142885448888889073e+02 2.805367192544879445e-08
3.106099380777778265e+02 2.877281001434222121e-08
3.069313312666666889e+02 2.954061712121350506e-08
3.032527244555556081e+02 3.038385507068922004e-08
2.995741176444444704e+02 3.128040762831595118e-08
2.958955108333333328e+02 3.198981352436234412e-08
2.922169040222222520e+02 3.277843103083928426e-08
2.885382972111111712e+02 3.400015420177386524e-08
2.881505196832255251e+02 3.418765434081958525e-08
2.848596904000000336e+02 3.569758165268245698e-08
2.811810835888888960e+02 3.760015845234762551e-08
2.775024767777778152e+02 3.906390572311522769e-08
2.738238699666666776e+02 4.034376046629498927e-08
2.701452631555555399e+02 4.176041287220173424e-08
2.671746947866633946e+02 4.351933232129015245e-08
2.664666563444444591e+02 4.384882353621371518e-08
2.627880495333333783e+02 4.565874393290411469e-08
2.591094427222222407e+02 4.777758032173871972e-08
2.554308359111111315e+02 5.047250416664868866e-08
2.517522291000000223e+02 5.356574472450666266e-08
2.493735557945809092e+02 5.519691269052955441e-08
2.480736222888889131e+02 5.593673838457385833e-08
2.443950154777778039e+02 5.747564705059765994e-08
2.407164086666666662e+02 5.920026794608220388e-08
2.370378018555555855e+02 6.162965253303980393e-08
2.333591950444444478e+02 6.448857265246741315e-08
2.296805882333333386e+02 6.781349932845962724e-08
2.281330580853292531e+02 6.975748638356319670e-08
2.260019814222222294e+02 7.235594199556300740e-08
2.223233746111111486e+02 7.732795779857107437e-08
2.186447678000000110e+02 8.370758337455379395e-08
2.167545560715082047e+02 8.784838874001594413e-08
2.149661609888889018e+02 9.173218452381158974e-08
2.112875541777777926e+02 1.008328963739908347e-07
2.076089473666666834e+02 1.059580968590345760e-07
2.039303405555556026e+02 1.086760050710584325e-07
2.021688799647086512e+02 1.102470137209727018e-07
2.002517337444444649e+02 1.115061613479334021e-07
1.965731269333333557e+02 1.187805497857405995e-07
1.928945201222222465e+02 1.278324220205926928e-07
1.894820152881110857e+02 1.378836248574340668e-07
1.892159133111111373e+02 1.386774868099109154e-07
1.855373065000000281e+02 1.505168372120998704e-07
1.818586996888888621e+02 1.649791228377298557e-07
1.801072254346682371e+02 1.718675146777271264e-07
1.781800928777777813e+02 1.796062316581897752e-07
1.745014860666666436e+02 1.941407189263225109e-07
1.708228792555555913e+02 2.114056691898176988e-07
1.703084058067966282e+02 2.135168893856694928e-07
1.671442724444444536e+02 2.236889197442370646e-07
1.634656656333333444e+02 2.365672204920570635e-07
1.597870588222222352e+02 2.522754463878221122e-07
1.580727775777702391e+02 2.643928799653381598e-07
1.561084520111111260e+02 2.797167732759709175e-07
1.524298452000000452e+02 3.130915534314160900e-07
1.509769641282530586e+02 3.263381042548853962e-07
1.487512383888889076e+02 3.467352440300038121e-07
1.450726315777777700e+02 3.768810785882517459e-07
1.424621387649532949e+02 4.015202264079428042e-07
1.413940247666666892e+02 4.102535842651064251e-07
1.377154179555555515e+02 4.432519956755868473e-07
1.340368111444444708e+02 4.882685864396716385e-07
1.337061034861825135e+02 4.924809800619785470e-07
1.303582043333333331e+02 5.431275298806108719e-07
1.271188361576503496e+02 6.021911389473728605e-07
1.266795975222222381e+02 6.089928683512222944e-07
1.230009907111111147e+02 6.692997654151090221e-07
1.198011487515044706e+02 7.341119330667631083e-07
1.193223839000000055e+02 7.445786475539461833e-07
1.156437770888888963e+02 8.302098144995664080e-07
1.133759924923514717e+02 8.922634194057171203e-07
1.119651702777777871e+02 9.351166608156781492e-07
1.082865634666666779e+02 1.062145213200511510e-06
1.077633464265207124e+02 1.081300322852035131e-06
1.046079566555555687e+02 1.188078038523463038e-06
1.017112487351843413e+02 1.306595865053455663e-06
1.009293498444444310e+02 1.349658579065846393e-06
9.725074303333333603e+01 1.572706552293204311e-06
9.722471862338768744e+01 1.574334095796279813e-06
9.357213622222222682e+01 1.763693631766290830e-06
9.150304222723737269e+01 1.891611232627459036e-06
8.989352941111111761e+01 2.026497556547301468e-06
8.725599944669193064e+01 2.266546499388523884e-06
8.621492260000000840e+01 2.357025298506282730e-06
8.264326202448478398e+01 2.708402932643497522e-06
8.253631578888888498e+01 2.721572007021202623e-06
7.885770897777777577e+01 3.200373436420421925e-06
7.865783217954312079e+01 3.227718596280454451e-06
7.517910216666666656e+01 3.751258561506423115e-06
7.464779558718309715e+01 3.836448608526487257e-06
7.150049535555555735e+01 4.449250290014755949e-06
7.101056656905244324e+01 4.548118341990035887e-06
6.782188854444444814e+01 5.321801245737744294e-06
6.759448363853614694e+01 5.377988105968497848e-06
6.432142172877010466e+01 6.343229561056979561e-06
6.414328173333333893e+01 6.407430265006521139e-06
6.118996265501835552e+01 7.463114049087119238e-06
6.046467492222222262e+01 7.789382059485222556e-06
5.824453878086224279e+01 8.759212946740731247e-06
5.678606811111111341e+01 9.568409443132560021e-06
5.548564050407635762e+01 1.025561006905327129e-05
5.313814195624861725e+01 1.197912605978831830e-05
5.310746130000000420e+01 1.200310531160577997e-05
5.042769376660591263e+01 1.395955460978533435e-05
4.942885448888888789e+01 1.513402801789285039e-05
4.835370374483819944e+01 1.622991024242127599e-05
4.601751165404500910e+01 1.882668729795424240e-05
4.575024767777777868e+01 1.932854412972998060e-05
4.415185240353518736e+01 2.179012963651766281e-05
4.207893052943405365e+01 2.516451046377715585e-05
