# m4(GeV) Utau4^2
5.01727631e-3 8.75496341e-2
9.28450406e-3 1.08976970e-1
1.36033335e-2 1.07795276e-1
2.03166601e-2 9.27602992e-2
2.93777629e-2 8.32662928e-2
4.29917710e-2 8.94296901e-2
5.07163752e-2 1.55112220e-1
