# m4(GeV) Umu4^2
1.52468641e-1 4.42616203e-8
1.62648741e-1 2.44132787e-8
1.83604062e-1 1.40581300e-8
2.10635422e-1 8.81546713e-9
2.39702056e-1 6.01841585e-9
2.77223252e-1 4.10945172e-9
3.25840521e-1 2.80640535e-9
3.89222623e-1 2.08705188e-9
5.29092259e-1 1.20387169e-9
6.52768935e-1 8.22510028e-10
8.05355350e-1 5.38550520e-10
9.77683024e-1 3.23813812e-10
1.22586794e+0 1.78872032e-10
1.44085118e+0 1.38782980e-10
1.56209286e+0 1.27558336e-10
1.72112380e+0 1.39011045e-10
1.83604062e+0 1.95485533e-10
1.89634510e+0 2.99227692e-10
1.92723608e+0 5.20297055e-10
1.94286976e+0 9.43939781e-10
2.00668302e+0 8.26679604e-9
2.19318500e+0 8.27358575e-9
2.35859957e+0 8.27914512e-9
2.49583355e+0 9.01911431e-9
2.74992520e+0 1.16521846e-8
2.98132005e+0 1.71006748e-8
3.15478672e+0 2.02835117e-8
3.39272729e+0 1.71211080e-8
3.86090666e+0 1.16887677e-8
4.46526458e+0 9.06771100e-9
5.00000000e+0 9.47168424e-9
5.24834815e+0 1.07658654e-8
5.46470214e+0 1.39016233e-8
5.59877238e+0 1.79480496e-8
5.64418946e+0 2.41757484e-8

