0.001	5.436286510793438e-14
1.001	1.7199640763243321e-12
2.001	2.4317889560135932e-12
3.001	2.9780729724661137e-12
4.001	3.4386392267983887e-12
5.001	3.8444194405423674e-12
6.001	4.211280320468297e-12
7.001	4.548648485023549e-12
8.001	4.862666361478083e-12
9.001	5.157600725705119e-12
10.001	5.43655831832396e-12
11.001	5.70188455260898e-12
12.001	5.955401628271965e-12
13.001	6.198558675754215e-12
14.001	6.432530665260082e-12
15.001	6.658285955278189e-12
16.001	6.876633839677539e-12
17.001	7.0882588883125394e-12
18.001	7.293746305602162e-12
19.001	7.493601021753736e-12
20.001	7.688262311860342e-12
21.001	7.878115160285208e-12
22.001	8.063499214451444e-12
23.001	8.2447159250154e-12
24.001	8.422034302171063e-12
25.001	8.595695602433203e-12
26.001	8.765917179190835e-12
27.001	8.932895672466818e-12
28.001	9.096809671413373e-12
29.001	9.257821952309482e-12
30.001	9.416081371961844e-12
31.001	9.57172447922266e-12
32.001	9.724876894279628e-12
33.001	9.875654495355599e-12
34.001	1.0024164444699654e-11
35.001	1.017050607969555e-11
36.001	1.0314771690147467e-11
37.001	1.0457047199023782e-11
38.001	1.0597412760922101e-11
39.001	1.073594329009324e-11
40.001	1.0872708927900237e-11
41.001	1.1007775457992639e-11
42.001	1.1141204676170727e-11
43.001	1.1273054720840839e-11
44.001	1.1403380369075451e-11
45.001	1.1532233302555012e-11
46.001	1.1659662347053724e-11
47.001	1.1785713688616649e-11
48.001	1.191043106914226e-11
49.001	1.2033855963718893e-11
50.001	1.2156027741753317e-11
51.001	1.2276983813666112e-11
52.001	1.239675976470316e-11
53.001	1.25153894772199e-11
54.001	1.2632905242629271e-11
55.001	1.2749337864061554e-11
56.001	1.2864716750660973e-11
57.001	1.2979070004337003e-11
58.001	1.3092424499695385e-11
59.001	1.3204805957793073e-11
60.001	1.3316239014290443e-11
61.001	1.342674728251241e-11
62.001	1.3536353411875658e-11
63.001	1.3645079142091532e-11
64.001	1.3752945353511908e-11
65.001	1.3859972113948436e-11
66.001	1.3966178722262286e-11
67.001	1.407158374899269e-11
68.001	1.4176205074266479e-11
69.001	1.4280059923207682e-11
70.001	1.4383164899045885e-11
71.001	1.4485536014103486e-11
72.001	1.4587188718825588e-11
73.001	1.4688137929001622e-11
74.001	1.47883980513144e-11
75.001	1.4887983007340616e-11
76.001	1.498690625611592e-11
77.001	1.5085180815368104e-11
78.001	1.5182819281513345e-11
79.001	1.527983384850231e-11
80.001	1.5376236325596075e-11
81.001	1.5472038154145168e-11
82.001	1.5567250423439177e-11
83.001	1.566188388568919e-11
84.001	1.5755948970200246e-11
85.001	1.5849455796786767e-11
86.001	1.594241418847977e-11
87.001	1.6034833683571046e-11
88.001	1.6126723547036083e-11
89.001	1.6218092781374495e-11
90.001	1.6308950136903818e-11
91.001	1.639930412153999e-11
92.001	1.6489163010095508e-11
93.001	1.6578534853123946e-11
94.001	1.6667427485337646e-11
95.001	1.6755848533623486e-11
96.001	1.6843805424679896e-11
97.001	1.693130539229682e-11
98.001	1.701835548429879e-11
99.001	1.7104962569169983e-11
100.001	1.7191133342378847e-11
101.001	1.727687433241885e-11
102.001	1.736219190658071e-11
103.001	1.7447092276470602e-11
104.001	1.7531581503287815e-11
105.001	1.7615665502874622e-11
106.001	1.7699350050550177e-11
107.001	1.778264078573973e-11
108.001	1.786554321640956e-11
109.001	1.794806272331755e-11
110.001	1.8030204564088684e-11
111.001	1.811197387712416e-11
112.001	1.8193375685352387e-11
113.001	1.827441489982962e-11
114.001	1.8355096323197497e-11
115.001	1.843542465300438e-11
116.001	1.851540448489703e-11
117.001	1.8595040315688717e-11
118.001	1.8674336546309543e-11
119.001	1.8753297484644552e-11
120.001	1.8831927348264676e-11
121.001	1.891023026705552e-11
122.001	1.8988210285748526e-11
123.001	1.906587136635904e-11
124.001	1.9143217390535293e-11
125.001	1.9220252161822344e-11
