# M4/GeV Umu4sqr
2.86962963e+0 9.80345840e-6
2.94666667e+0 8.19960824e-6
3.02666667e+0 6.85814869e-6
3.10559646e+0 6.09626511e-6
3.17185185e+0 5.04180688e-6
3.26255694e+0 4.67272044e-6
3.30395505e+0 4.31694164e-6
3.35944613e+0 3.86939762e-6
3.39174253e+0 3.66417090e-6
3.44083305e+0 3.54812007e-6
3.56066968e+0 2.87711067e-6
3.61941513e+0 2.56685873e-6
3.68025700e+0 2.29702745e-6
3.73935374e+0 2.02920267e-6
3.79977900e+0 1.83013726e-6
3.86326992e+0 1.65824907e-6
3.92527900e+0 1.50562744e-6
3.98728808e+0 1.36594404e-6
4.04929716e+0 1.23972249e-6
4.11130624e+0 1.12379603e-6
4.17331532e+0 1.01458549e-6
4.23532440e+0 9.14131922e-7
4.29733348e+0 8.21621861e-7
4.35934256e+0 7.38174283e-7
4.42135165e+0 6.61053103e-7
4.48142294e+0 5.93785116e-7
4.54795352e+0 5.31289071e-7
4.60350332e+0 4.83108473e-7
4.66551240e+0 4.41142617e-7
4.72752148e+0 4.02658795e-7
4.78953056e+0 3.66044180e-7
4.85153965e+0 3.32354271e-7
4.91354873e+0 3.00787327e-7
4.97555781e+0 2.72550111e-7
5.03756689e+0 2.46463302e-7
5.09957597e+0 2.22151205e-7
5.16158505e+0 1.99669525e-7
5.22359413e+0 1.79608658e-7
5.28560321e+0 1.61105159e-7
5.34632044e+0 1.42772711e-7
5.40727564e+0 1.25781714e-7
5.46581710e+0 1.12064857e-7
5.51210861e+0 9.94051961e-8
5.56251251e+0 9.03522231e-8
5.59881954e+0 8.01806766e-8
5.64781376e+0 7.12096526e-8
5.69207643e+0 6.12561085e-8
5.72741791e+0 5.30102812e-8
5.75164021e+0 4.52897562e-8
5.76719948e+0 3.90685113e-8
5.77629630e+0 3.35631002e-8
