# MN(MeV) Ue4*Umu4
27.962489343563362 0.000006816841690931303
28.30349531116778 0.000016958416889738794
32.054560954816566 0.000013090056745816965
36.14663256606977 0.000009397525076238664
38.87468030690522 0.000007329383839429656
41.26172208013628 0.000006082861750075108
45.353793691389455 0.000004551671537912037
48.42284739982938 0.000003624268711741792
51.83290707587372 0.0000028858241605315783
54.90196078431356 0.000002345928884445384
57.630008525149066 0.000001946952348548251
61.381074168797795 0.0000016158305022164916
65.81415174765544 0.0000012866051260253371
69.56521739130423 0.000001067789773329579
74.3393009377663 8.680220042609327e-7
78.77237851662397 7.203958700508219e-7
83.54646206308598 6.10389699831965e-7
86.95652173913032 5.28005784794236e-7
93.43563512361453 4.160929953529591e-7
100.25575447570321 3.2790053777397043e-7
106.39386189258303 2.721338768375309e-7
115.94202898550716 1.9945736390543391e-7
123.78516624040915 1.6047127429812965e-7
133.67433930093765 1.2777526096244522e-7
141.51747655583964 1.0495170667020068e-7
152.08866155157708 8.356780219321282e-8
163.00085251491893 6.450527074223935e-8
175.27706734867851 4.979106598866045e-8
187.5532821824381 3.9646139024731255e-8
197.4424552429667 3.290344562312671e-8
205.96760443307747 2.8169238863038904e-8
213.46973572037504 2.4877234441719893e-8
221.6538789428814 2.2198663940590166e-8
228.47399829497007 1.9808499288845856e-8
235.9761295822676 1.7675687380389902e-8
250.2983802216538 1.4669549996009723e-8
262.5745950554134 1.2429474669396244e-8
275.5328218243819 1.0641099564910654e-8
287.8090366581415 9.59420503700082e-9
300.7672634271099 8.56118206758254e-9
311.67945439045184 7.962500548544283e-9
323.9556692242114 7.560677603999786e-9
334.8678601875532 7.405684692262442e-9
345.43904518329055 7.405684692262442e-9
353.96419437340126 7.880462815669936e-9
361.4663256606991 8.21377361154815e-9
