# m4 [GeV]	90%CL?? C/Lambda^2 [GeV^-2] from SuperNova 1987A cooling (DeRocco:2019jti)
0.005113324769593452	0.00020633495926139565
0.005395549692046257	0.0002067218501435697
0.005609854896682116	0.00020670161819119398
0.005799472594257446	0.0002065690474645454
0.006129851514596376	0.00020696473010893925
0.006373322367095338	0.0002034542720040216
0.0065887458914843065	0.00020078998416519052
0.006964087393429088	0.00019662840889961552
0.007240693162837688	0.00019295341186272445
0.007485434531673938	0.00019052756835765167
0.007911857751828644	0.00018280433261439667
0.008193028731606924	0.00017647255091212153
0.00851844667771588	0.00017093707069187634
0.009018846561539019	0.00016289744974609248
0.009339357622748616	0.0001585695479654346
0.009710306471475012	0.00015618208125646663
0.01028071988298633	0.00015331987871917093
0.010689058588785872	0.00015070285709051378
0.011050357537899892	0.00014923265371385633
0.011679863951352999	0.00014637246145176683
0.012094942039697036	0.00014396618875206474
0.01257533962230054	0.00014239231926618424
0.013314053935380337	0.00013979605515448303
0.01384287328021199	0.000138093701119486
0.01431077375314103	0.0001348432224503804
0.015126016502362588	0.00012926229390961024
0.015663563689573928	0.00012522342872880405
0.01628570293643682	0.00012178833366300241
0.01724237545734251	0.0001173401972715829
0.017891142183892202	0.00011584657679059318
0.0185643195994748	0.0001143518654336321
0.01965484510515582	0.00011269032951233165
0.0204355135898805	0.00011158721990495934
0.021126250713575857	0.00011091756925087222
0.02232975116781924	0.00011207575256891176
0.023216663932340998	0.00011263639603430759
0.02400140621913961	0.0001135885954208673
0.025368695838052065	0.00011483701915528758
0.026376312089077043	0.00011381002033353552
0.02726785307560366	0.00011355125309039651
0.028821222578202726	0.00011195406298472554
0.029965969333400316	0.00011111298553084769
0.030978843679575103	0.00010978132807053317
0.03285374842447044	0.00010411535941488395
0.03415866260022903	0.00009907694859266371
0.03531325341831575	0.00009555673132888247
0.03745048575263118	0.00008885817409737452
0.03893797719854652	0.00008467019622739112
0.040321751975964555	0.00008016414598994951
0.0426903763000565	0.00007276206285591041
0.04429665704460252	0.00006832116710868537
0.04596337618426045	0.00006413511044207707
0.04866340694959836	0.00005813259628943279
0.05039280328615477	0.00005448383461155246
0.05239434912240824	0.00005113368270126816
0.0556587320637932	0.00004599073529147262
0.05786943470680414	0.00004293061500865506
0.05982546907332225	0.00004046615418113235
0.06344623222998955	0.000036420072783066636
0.06583347895812137	0.000034066835610332754
0.06831054893880377	0.00003185102060413931
0.07232332169493239	0.000028679988928831553
0.07504458042087205	0.000026781884828914246
0.0778682300337339	0.000024997038284670984
0.08244245051507194	0.000022403095569719777
0.08537228385052191	0.000021005017938428798
0.08876317556778042	0.000019494828631770632
0.0942934856298382	0.000017344133715160562
0.09808941596375982	0.000016104909370122437
0.10152280976084235	0.000015007416255968483
0.10754211345867958	0.000013507379405326158
0.11153089500826144	0.000012447107673621697
0.11572738950188144	0.000011555365293997928
0.1225255740128426	0.000010291794552160823
0.12687987824500926	9.58273562302251e-6
0.13191940522991538	8.818937582735785e-6
0.1401385254839737	7.651293699711066e-6
0.14570467112164276	6.979050541095247e-6
0.1508827122875215	6.4528002368198465e-6
0.15974602910525862	5.6138966639365245e-6
0.1660909628768137	5.068008052262398e-6
0.17199349047895604	4.570304567316445e-6
0.18209691964981095	3.852321720316809e-6
0.18820730112903922	3.5378627546637857e-6
0.19344230494689368	3.210329578054098e-6
