# M4/GeV utau4sqr
1.08148148e-1 1.62632335e-6
1.17037037e-1 1.23173488e-6
1.22962963e-1 8.53167852e-7
1.34814815e-1 6.65695869e-7
1.82222222e-1 7.06541915e-7
2.29629630e-1 7.27895384e-7
2.77037037e-1 7.06541915e-7
2.88888889e-1 5.79336691e-7
3.06666667e-1 4.38774499e-7
3.21481481e-1 3.52706768e-7
3.42222222e-1 2.56733628e-7
3.68888889e-1 1.81393069e-7
3.89629630e-1 1.36025612e-7
4.22222222e-1 9.61077966e-8
4.60740741e-1 6.79041867e-8
4.87407407e-1 5.24599154e-8
5.19866224e-1 4.13556016e-8
5.45784082e-1 3.55818157e-8
5.69186548e-1 3.06039375e-8
5.99557582e-1 2.64363386e-8
6.27300186e-1 2.29090820e-8
6.59885351e-1 1.99898358e-8
6.93361615e-1 1.74187626e-8
7.31811325e-1 1.50773423e-8
7.71028378e-1 1.31660414e-8
8.14490100e-1 1.15319077e-8
8.65673429e-1 1.01588978e-8
9.19071703e-1 9.09260366e-9
9.83723217e-1 8.31900752e-9
1.04573230e+0 7.75831741e-9
1.10774138e+0 7.69874636e-9
1.16975046e+0 7.85013155e-9
1.23175954e+0 8.09593593e-9
1.29376862e+0 8.14535188e-9
1.35577770e+0 8.47914874e-9
1.42204991e+0 9.13481978e-9
1.47816813e+0 1.01141570e-8
1.51976266e+0 1.18737129e-8
1.54942690e+0 1.39279220e-8
1.57197901e+0 1.60385631e-8
1.59263450e+0 1.86681626e-8
1.60547498e+0 2.19016191e-8
1.61763688e+0 2.65517021e-8
1.62477732e+0 3.14132118e-8
1.63645823e+0 3.69426087e-8
1.64752182e+0 4.53714889e-8
1.65583607e+0 5.53844930e-8
1.65807197e+0 6.89770714e-8
1.66507781e+0 8.37822470e-8
1.66582311e+0 9.52297259e-8
1.66674101e+0 1.08301067e-7
1.66776089e+0 1.44847029e-7
1.66969868e+0 1.66311554e-7
1.68086400e+0 1.99804575e-7
1.74333446e+0 2.11252386e-7
1.80666939e+0 2.05223701e-7
1.85456325e+0 1.80157433e-7
1.90875073e+0 1.62106447e-7
1.97586851e+0 1.47170239e-7
2.03787759e+0 1.34440631e-7
2.09988667e+0 1.23862828e-7
2.16189576e+0 1.13701389e-7
2.22424680e+0 1.01209469e-7
2.28591392e+0 9.08152505e-8
2.34792300e+0 8.28928286e-8
2.40993208e+0 7.64328021e-8
2.47194116e+0 7.01055155e-8
2.53395024e+0 6.39637880e-8
2.59595932e+0 5.85973564e-8
2.64316374e+0 5.09821414e-8
2.69426955e+0 4.72925949e-8
2.75485759e+0 4.56216857e-8
2.81686667e+0 4.35598261e-8
2.87887576e+0 4.13388277e-8
2.94088484e+0 3.85057535e-8
3.00289392e+0 3.54905118e-8
3.06490300e+0 3.28710161e-8
3.12691208e+0 3.05190570e-8
3.18892116e+0 2.84390291e-8
3.25093024e+0 2.65977007e-8
3.31293932e+0 2.51189732e-8
3.37494840e+0 2.37802704e-8
3.43695748e+0 2.30863469e-8
3.49896657e+0 2.30582668e-8
3.56097565e+0 2.30208798e-8
3.62298473e+0 2.23491159e-8
3.68499381e+0 2.13563745e-8
3.74700289e+0 2.04408735e-8
3.80901197e+0 1.95804986e-8
3.87102105e+0 1.87183306e-8
3.93303013e+0 1.79522946e-8
3.99503921e+0 1.72735780e-8
4.05704829e+0 1.67559233e-8
4.11905738e+0 1.64128078e-8
4.18106646e+0 1.64929034e-8
4.24307554e+0 1.72946136e-8
4.30681843e+0 1.86760136e-8
4.36822407e+0 2.09813813e-8
4.42099932e+0 2.41942797e-8
4.45647398e+0 2.87989417e-8
4.48446803e+0 3.30276003e-8
4.50176967e+0 3.82359370e-8
4.51799861e+0 4.50515322e-8
4.53329592e+0 5.36694323e-8
4.53761867e+0 6.28168688e-8
4.54962963e+0 9.61077966e-8
4.56148148e+0 2.19036878e-7
