# m4 (MeV) Utau4^2
100 2.31e-2
200 1.95e-2
300 9.67e-3
400 2.14e-3
500 5.85e-4
600 6.22e-4
700 4.85e-4
800 3.85e-4
900 5.38e-5
1000 9.11e-5
1100 4.78e-5
1200 5.04e-6
1300 4.09e-5
