# m4(GeV) Umu4^2
7.13700554e-2 9.27829427e-5
7.67730505e-2 7.45756699e-5
8.21752056e-2 5.81237214e-5
8.75798807e-2 4.96853067e-5
9.29818931e-2 3.85224036e-5
9.83860927e-2 3.23607402e-5
1.03790292e-1 2.71846356e-5
1.09194302e-1 2.26777931e-5
1.14599167e-1 1.95210489e-5
1.20002226e-1 1.57268388e-5
1.25405284e-1 1.26700906e-5
1.30358300e-1 1.04741999e-5
1.32468672e-1 7.73762352e-6
1.34849330e-1 5.73481191e-6
1.39798732e-1 4.15271539e-6
1.45201886e-1 3.35725518e-6
1.48018892e-1 2.80608787e-6
1.50600855e-1 2.32822527e-6
1.56003438e-1 1.84329053e-6
1.61407162e-1 1.52170115e-6
1.66809270e-1 1.18393721e-6
1.72213755e-1 1.00502169e-6
1.77618335e-1 8.56122869e-7
1.83023485e-1 7.44697942e-7
1.88429111e-1 6.59164337e-7
1.93834832e-1 5.85492249e-7
1.99240553e-1 5.20054187e-7
2.04646370e-1 4.63542911e-7
2.10052756e-1 4.21905009e-7
2.15459048e-1 3.82670972e-7
2.20865530e-1 3.49513662e-7
2.26272487e-1 3.24842082e-7
2.31679159e-1 2.98771191e-7
2.37086117e-1 2.77681437e-7
2.42493359e-1 2.60793446e-7
2.47900412e-1 2.43230874e-7
2.53307559e-1 2.27643172e-7
2.58714612e-1 2.12313033e-7
2.64121854e-1 1.99400609e-7
2.69529002e-1 1.86621814e-7
2.74936340e-1 1.75883918e-7
2.80343868e-1 1.66923565e-7
2.85751681e-1 1.60085084e-7
2.91159304e-1 1.52460131e-7
2.96566927e-1 1.45198359e-7
3.01974645e-1 1.38765347e-7
3.07382363e-1 1.32617349e-7
3.12790747e-1 1.29872426e-7
3.18198940e-1 1.26300702e-7
3.23607419e-1 1.24118429e-7
3.29015613e-1 1.20704950e-7
3.34423901e-1 1.17795253e-7
3.39832380e-1 1.15759941e-7
3.45241335e-1 1.15759941e-7
3.50650289e-1 1.15759941e-7
3.56059814e-1 1.18206590e-7
3.61469624e-1 1.21973863e-7
3.66880005e-1 1.28521343e-7
3.72290766e-1 1.37321750e-7
3.77702002e-1 1.49304500e-7
3.83115331e-1 1.75271875e-7
3.88080253e-1 2.24178250e-7
3.91698052e-1 3.45877619e-7
3.91940080e-1 4.71430549e-7
3.92085745e-1 9.82664039e-5
