# m4(GeV) Umu4^2
1.74916047e+0 9.58189304e-5
1.86594926e+0 5.28506240e-5
1.92723608e+0 2.91419941e-5
1.97451861e+0 1.74947403e-5
2.19318500e+0 7.80350325e-6
2.41646512e+0 3.63174267e-6
2.61980068e+0 1.76340247e-6
2.79472079e+0 8.56097036e-7
3.02988500e+0 3.50635890e-7
3.33834647e+0 1.31917699e-7
3.67821127e+0 4.96306276e-8
3.92379985e+0 2.12077241e-8
4.02006581e+0 1.32848926e-8
4.05267646e+0 9.86416228e-9
