# m4 [GeV]	90%CL?? C/Lambda^2 [GeV^-2] from SuperNova 1987A cooling (DeRocco:2019jti)
0.005113324769593452	0.00011940070482266279
0.005395549692046257	0.00011965569206347733
0.005609854896682116	0.00011966870723347473
0.005799472594257446	0.00011961461764462457
0.006129851514596376	0.00011988509083131471
0.006373322367095338	0.00011788303329303215
0.0065887458914843065	0.00011636773114205886
0.006964087393429088	0.00011400655380417588
0.007240693162837688	0.00011191414845705493
0.007485434531673938	0.00011054189930693553
0.007911857751828644	0.00010612168808499702
0.008193028731606924	0.0001024863657790103
0.00851844667771588	0.00009931862313283041
0.009018846561539019	0.0000947196162395576
0.009339357622748616	0.00009225018054970569
0.009710306471475012	0.00009091691832008846
0.01028071988298633	0.00008933890595738897
0.010689058588785872	0.00008787897466815618
0.011050357537899892	0.00008708065561556829
0.011679863951352999	0.00008551698540165944
0.012094942039697036	0.00008418250510905285
0.01257533962230054	0.0000833468954588443
0.013314053935380337	0.00008196121432113743
0.01384287328021199	0.00008106239191596957
0.01431077375314103	0.00007924312344660743
0.015126016502362588	0.00007611821026327975
0.015663563689573928	0.00007384312204745669
0.01628570293643682	0.00007193790545459567
0.01724237545734251	0.00006949730966593267
0.017891142183892202	0.00006874345360017766
0.0185643195994748	0.00006799519966583618
0.01965484510515582	0.00006723874293642597
0.0204355135898805	0.00006675218104244114
0.021126250713575857	0.00006650769304848829
0.02232975116781924	0.00006748855528522926
0.023216663932340998	0.00006804764411970763
0.02400140621913961	0.00006882714611683189
0.025368695838052065	0.00006995821381720348
0.026376312089077043	0.00006961797114907216
0.02726785307560366	0.00006971985560121852
0.028821222578202726	0.00006920404995569629
0.029965969333400316	0.00006903838816939489
0.030978843679575103	0.00006853045942411785
0.03285374842447044	0.00006557694616443792
0.03415866260022903	0.00006280607226332203
0.03531325341831575	0.000060928530635057856
0.03745048575263118	0.000057290191039544165
0.03893797719854652	0.000055026416914458534
0.040321751975964555	0.000052493678423452636
0.0426903763000565	0.00004828379854287281
0.04429665704460252	0.00004575730879587386
0.04596337618426045	0.00004337465132016501
0.04866340694959836	0.00003995473492300429
0.05039280328615477	0.00003784353478903705
0.05239434912240824	0.00003595850518180687
0.0556587320637932	0.0000330121923985678
0.05786943470680414	0.000031253239686912645
0.05982546907332225	0.000029832472934878537
0.06344623222998955	0.00002748938426379029
0.06583347895812137	0.000026118961183570595
0.06831054893880377	0.000024822082141156365
0.07232332169493239	0.000022952495585741735
0.07504458042087205	0.000021823913375486
0.0778682300337339	0.000020754714810513943
0.08244245051507194	0.00001917311747743068
0.08537228385052191	0.000018327480420233203
0.08876317556778042	0.000017392827393729287
0.0942934856298382	0.000016041443229986467
0.09808941596375982	0.000015264071601550516
0.10152280976084235	0.000014538997414370318
0.10754211345867958	0.000013591159576606023
0.11153089500826144	0.000012837758870964551
0.11572738950188144	0.000012227711513558995
0.1225255740128426	0.00001134369768601107
0.12687987824500926	0.000010835828448841058
0.13191940522991538	0.000010266449739077129
0.1401385254839737	9.328667609445307e-6
0.14570467112164276	8.772366362244212e-6
0.1508827122875215	8.339151903471192e-6
0.15974602910525862	7.598041084264454e-6
0.1660909628768137	7.082859700417343e-6
0.17199349047895604	6.576093809596018e-6
0.18209691964981095	5.8174253277372774e-6
0.18820730112903922	5.49599071714359e-6
0.19344230494689368	5.106957343545875e-6
