# M4(GeV) UmuN^2
4.99801827e+0 4.89458724e-4
1.00143281e+1 2.42177376e-4
1.50020481e+1 2.12560555e-4
1.99910947e+1 2.50317703e-4
2.99999005e+1 3.13208396e-4
4.99887896e+1 8.44661475e-4
