# m(GeV) Umu4^2
1.98861506e-2 1.80037351e-3
2.27259339e-2 1.20702436e-3
4.42972547e-2 1.52349009e-4
8.86800822e-2 2.13761013e-5
1.10529514e-1 1.14615704e-5
1.50249001e-1 6.07368833e-6
1.82334800e-1 1.96406692e-6
1.96224677e-1 1.24157638e-6
2.51188643e-1 6.89621555e-7
3.34686104e-1 3.69765558e-7
4.03456857e-1 2.17821178e-7
5.19926590e-1 1.32921583e-7
7.35642254e-1 6.56387599e-8
1.00000000e+0 3.60321769e-8
1.18158173e+0 2.30470271e-8
1.54314166e+0 1.38996244e-8
1.78720312e+0 1.86502377e-8
1.88522122e+0 3.39745911e-8
1.97538692e+0 1.41636331e-5
2.16886182e+0 1.35128096e-5

