2.49965101e-1  7.52455975e-1
2.51935756e-1  4.63505722e-1
2.56426722e-1  3.73197373e-2
2.57941430e-1  1.50253300e-2
2.57941430e-1  8.91556586e-3
2.69807224e-1  3.53710650e-3
2.90186746e-1  2.80351683e-3
3.35372115e-1  2.04579652e-3
3.74555855e-1  1.61651627e-3
4.43446124e-1  1.05743631e-3
4.91107391e-1  8.11281802e-4
5.74625767e-1  5.24672194e-4
6.36386127e-1  4.03076247e-4
7.53856318e-1  2.57913519e-4
8.31142266e-1  2.04601582e-4
9.80154245e-1  1.36433189e-4
1.08550051e+0  1.06756917e-4
1.27438389e+0  7.15665206e-5
1.41770117e+0  5.52788983e-5
1.65229697e+0  3.88650492e-5
1.86616394e+0  3.11778171e-5
2.23382254e+0  4.33112182e-5
2.13853238e+0  3.29770589e-5
2.02744839e+0  3.05561996e-5
2.54334576e-1  1.04680925e-1
2.53206531e-1  2.51571971e-1
	
